schema_version,run_id,run_dir,agent_id,agent_name,agent_version,agent_image,prompt_file,prompt_name,started_at,ended_at,subject_workspace,real_api_call,process_exit_code,process_timed_out,request_count,post_request_count,has_primary_request,primary_request_index,request_method,request_path,model,tokenizer_library,tokenizer_encoding,anthropic_tokenizer_model,anthropic_total_body_tokens,total_body_tokens,body_tokens,body_bytes,body_chars,text_field_count,text_tokens,system_prompt_tokens,environment_context_tokens,user_prompt_tokens,assistant_context_tokens,tool_context_tokens,other_text_tokens,main_instructions_tokens,developer_instructions_tokens,permissions_instructions_tokens,skills_instructions_tokens,injected_user_context_tokens,instruction_tokens,default_context_tokens,skills_count,skills_tokens,skill_definition_tokens,tool_count,tool_definition_tokens,mcp_count,mcp_tokens,mcp_marker_count,mcp_mention_count,mcp_mention_tokens,subagent_count,subagent_tokens,subagent_marker_count,subagent_mention_count,subagent_mention_tokens
hibench.benchmark.v1,claude-code-2.1.100-hi,runs/claude-code-2.1.100-hi,claude-code,Anthropic Claude Code,2.1.100,hibench/claude-code:2.1.100,prompts/hi.txt,hi,2026-06-13T16:30:04Z,2026-06-13T16:30:05Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,33222,21436,21436,96254,96109,6,5777,5706,70,1,0,0,0,5459,247,0,247,70,5776,21055,4,247,164,22,15279,0,0,1,1,327,5,296,7,1,5412
hibench.benchmark.v1,claude-code-2.1.101-hi,runs/claude-code-2.1.101-hi,claude-code,Anthropic Claude Code,2.1.101,hibench/claude-code:2.1.101,prompts/hi.txt,hi,2026-06-13T16:30:29Z,2026-06-13T16:30:31Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,34782,22406,22406,100456,100280,6,5903,5832,70,1,0,0,0,5535,297,0,297,70,5902,22010,5,297,237,23,16108,0,0,1,1,327,5,296,8,2,5708
hibench.benchmark.v1,claude-code-2.1.104-hi,runs/claude-code-2.1.104-hi,claude-code,Anthropic Claude Code,2.1.104,hibench/claude-code:2.1.104,prompts/hi.txt,hi,2026-06-13T16:30:56Z,2026-06-13T16:30:58Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,34771,22403,22403,100456,100280,6,5902,5831,70,1,0,0,0,5534,297,0,297,70,5901,22009,5,297,237,23,16108,0,0,1,1,327,5,296,8,2,5708
hibench.benchmark.v1,claude-code-2.1.108-hi,runs/claude-code-2.1.108-hi,claude-code,Anthropic Claude Code,2.1.108,hibench/claude-code:2.1.108,prompts/hi.txt,hi,2026-06-13T16:32:20Z,2026-06-13T16:32:21Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35653,22975,22975,103019,102845,6,6184,6113,70,1,0,0,0,5534,579,0,579,70,6183,22586,11,579,421,23,16403,0,0,1,1,327,5,296,8,2,5708
hibench.benchmark.v1,claude-code-2.1.109-hi,runs/claude-code-2.1.109-hi,claude-code,Anthropic Claude Code,2.1.109,hibench/claude-code:2.1.109,prompts/hi.txt,hi,2026-06-13T16:32:46Z,2026-06-13T16:32:48Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35660,22985,22985,103019,102845,6,6186,6115,70,1,0,0,0,5536,579,0,579,70,6185,22588,11,579,421,23,16403,0,0,1,1,327,5,296,8,2,5708
hibench.benchmark.v1,claude-code-2.1.110-hi,runs/claude-code-2.1.110-hi,claude-code,Anthropic Claude Code,2.1.110,hibench/claude-code:2.1.110,prompts/hi.txt,hi,2026-06-13T16:33:11Z,2026-06-13T16:33:12Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35582,22937,22937,102817,102643,6,6141,6070,70,1,0,0,0,5534,536,0,536,70,6140,22543,8,536,381,23,16403,0,0,1,1,327,5,296,8,2,5708
hibench.benchmark.v1,claude-code-2.1.111-hi,runs/claude-code-2.1.111-hi,claude-code,Anthropic Claude Code,2.1.111,hibench/claude-code:2.1.111,prompts/hi.txt,hi,2026-06-13T16:33:33Z,2026-06-13T16:33:34Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35563,22918,22918,102793,102601,6,6114,6043,70,1,0,0,0,5434,609,0,609,70,6113,22496,9,609,454,23,16383,0,0,2,2,936,5,296,8,2,5607
hibench.benchmark.v1,claude-code-2.1.112-hi,runs/claude-code-2.1.112-hi,claude-code,Anthropic Claude Code,2.1.112,hibench/claude-code:2.1.112,prompts/hi.txt,hi,2026-06-13T16:33:43Z,2026-06-13T16:33:44Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35565,22917,22917,102793,102601,6,6113,6042,70,1,0,0,0,5433,609,0,609,70,6112,22495,9,609,454,23,16383,0,0,2,2,936,5,296,8,2,5607
hibench.benchmark.v1,claude-code-2.1.113-hi,runs/claude-code-2.1.113-hi,claude-code,Anthropic Claude Code,2.1.113,hibench/claude-code:2.1.113,prompts/hi.txt,hi,2026-06-13T16:34:08Z,2026-06-13T16:34:10Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35621,22951,22951,102970,102776,6,6116,6045,70,1,0,0,0,5436,609,0,609,70,6115,22535,9,609,454,23,16420,0,0,2,2,936,5,296,8,2,5607
hibench.benchmark.v1,claude-code-2.1.114-hi,runs/claude-code-2.1.114-hi,claude-code,Anthropic Claude Code,2.1.114,hibench/claude-code:2.1.114,prompts/hi.txt,hi,2026-06-13T16:34:32Z,2026-06-13T16:34:36Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35614,22952,22952,102970,102776,6,6114,6043,70,1,0,0,0,5434,609,0,609,70,6113,22533,9,609,454,23,16420,0,0,2,2,936,5,296,8,2,5607
hibench.benchmark.v1,claude-code-2.1.116-hi,runs/claude-code-2.1.116-hi,claude-code,Anthropic Claude Code,2.1.116,hibench/claude-code:2.1.116,prompts/hi.txt,hi,2026-06-13T16:34:58Z,2026-06-13T16:35:00Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35572,22923,22923,102832,102642,6,6087,6016,70,1,0,0,0,5407,609,0,609,70,6086,22506,9,609,454,23,16420,0,0,2,2,936,5,296,8,2,5580
hibench.benchmark.v1,claude-code-2.1.117-hi,runs/claude-code-2.1.117-hi,claude-code,Anthropic Claude Code,2.1.117,hibench/claude-code:2.1.117,prompts/hi.txt,hi,2026-06-13T16:35:24Z,2026-06-13T16:35:25Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35567,22922,22922,102832,102642,6,6086,6015,70,1,0,0,0,5406,609,0,609,70,6085,22505,9,609,454,23,16420,0,0,2,2,936,5,296,8,2,5580
hibench.benchmark.v1,claude-code-2.1.118-hi,runs/claude-code-2.1.118-hi,claude-code,Anthropic Claude Code,2.1.118,hibench/claude-code:2.1.118,prompts/hi.txt,hi,2026-06-13T16:35:51Z,2026-06-13T16:35:52Z,generated empty Git repository,False,0,False,1,1,True,1,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35569,22925,22925,102847,102657,6,6088,6017,70,1,0,0,0,5406,611,0,611,70,6087,22506,9,611,456,23,16419,0,0,2,2,938,5,296,8,2,5580
hibench.benchmark.v1,claude-code-2.1.119-hi,runs/claude-code-2.1.119-hi,claude-code,Anthropic Claude Code,2.1.119,hibench/claude-code:2.1.119,prompts/hi.txt,hi,2026-06-13T16:36:17Z,2026-06-13T16:36:19Z,generated empty Git repository,False,0,False,1,1,True,1,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35567,22924,22924,102847,102657,6,6089,6018,70,1,0,0,0,5407,611,0,611,70,6088,22507,9,611,456,23,16419,0,0,2,2,938,5,296,8,2,5580
hibench.benchmark.v1,claude-code-2.1.120-hi,runs/claude-code-2.1.120-hi,claude-code,Anthropic Claude Code,2.1.120,hibench/claude-code:2.1.120,prompts/hi.txt,hi,2026-06-13T16:36:41Z,2026-06-13T16:36:43Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35607,22948,22948,102991,102799,6,6092,6021,70,1,0,0,0,5410,611,0,611,70,6091,22537,9,611,456,23,16446,0,0,2,2,938,5,323,8,2,5583
hibench.benchmark.v1,claude-code-2.1.121-hi,runs/claude-code-2.1.121-hi,claude-code,Anthropic Claude Code,2.1.121,hibench/claude-code:2.1.121,prompts/hi.txt,hi,2026-06-13T16:37:07Z,2026-06-13T16:37:08Z,generated empty Git repository,False,0,False,2,1,True,2,POST,/v1/messages?beta=true,claude-sonnet-4-6,tiktoken,o200k_base,claude-opus-4-8,35613,22958,22958,102991,102799,6,6094,6023,70,1,0,0,0,5412,611,0,611,70,6093,22539,9,611,456,23,16446,0,0,2,2,938,5,323,8,2,5583
